Code,Airports,City,State
ATL,Hartsfield–Jackson Atlanta International Airport,Atlanta,GA
LAX,Los Angeles International Airport,Los Angeles,CA
ORD,O'Hare International Airport,Chicago,IL
DFW,Dallas/Fort Worth International Airport,Dallas,TX
DEN,Denver International Airport,Denver,CO
JFK,John F. Kennedy International Airport,New York,NY
SFO,San Francisco International Airport,San Francisco,CA
SEA,Seattle–Tacoma International Airport,Seattle,WA
LAS,McCarran International Airport,Las Vegas,NV
MCO,Orlando International Airport,Orlando,FL
EWR,Newark Liberty International Airport,New York,NJ/NY
CLT,Charlotte Douglas International Airport,Charlotte,NC
PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ
IAH,George Bush Intercontinental Airport,Houston,TX
MIA,Miami International Airport,Miami,FL
BOS,Logan International Airport,Boston,MA
MSP,Minneapolis–Saint Paul International Airport,Minneapolis,MN
FLL,Fort Lauderdale–Hollywood International Airport,Miami,FL
DTW,Detroit Metropolitan Airport,Detroit,MI
PHL,Philadelphia International Airport,Philadelphia,PA
LGA,LaGuardia Airport,New York,NY
BWI,Baltimore–Washington International Airport,"Washington, D.C.",MD
SLC,Salt Lake City International Airport,Salt Lake City,UT
SAN,San Diego International Airport,San Diego,CA
IAD,Dulles International Airport,"Washington, D.C.",VA
DCA,Reagan National Airport,"Washington, D.C.",VA
MDW,Midway International Airport,Chicago,IL
TPA,Tampa International Airport,Tampa,FL
PDX,Portland International Airport,Portland,OR
HNL,Daniel K. Inouye International Airport,Honolulu,HI